=== Image Save Worker started ===
[17:19:47] Step 1 OK: Logging works.
[17:19:47] Step 2: Importing requests...
[17:19:47] Step 2 OK: requests imported.
[17:19:47] Step 3: Importing glob...
[17:19:47] Step 3 OK: glob imported.
[17:19:47] Step 4: Checking paths...
[17:19:47]   STOP_FILE exists:      False
[17:19:47]   NEW_IMAGE_FLAG exists: False
[17:19:47]   IMAGES_FOLDER exists:  True
[17:19:47] Step 4 OK: Folders ready.
[17:23:50] Loop alive (iteration 2180). Flag exists: False
[17:23:51] Loop alive (iteration 2700). Flag exists: False
[17:23:51] Loop alive (iteration 3040). Flag exists: False
[17:23:51] Loop alive (iteration 2340). Flag exists: False
[17:23:52] Loop alive (iteration 2200). Flag exists: False
[17:23:53] Loop alive (iteration 2720). Flag exists: False
[17:23:53] Loop alive (iteration 3060). Flag exists: False
[17:23:54] Loop alive (iteration 2360). Flag exists: False
[17:23:54] Loop alive (iteration 2220). Flag exists: False
[17:23:55] Loop alive (iteration 2740). Flag exists: False
[17:23:56] Loop alive (iteration 3080). Flag exists: False
[17:23:56] Loop alive (iteration 2380). Flag exists: False
[17:23:57] Loop alive (iteration 2240). Flag exists: False
[17:23:57] Loop alive (iteration 2760). Flag exists: False
[17:23:58] Loop alive (iteration 3100). Flag exists: False
[17:23:58] Loop alive (iteration 2400). Flag exists: False
[17:23:59] Loop alive (iteration 2260). Flag exists: False
[17:24:00] Loop alive (iteration 2780). Flag exists: False
[17:24:00] Loop alive (iteration 3120). Flag exists: False
[17:24:00] Loop alive (iteration 2420). Flag exists: False
[17:24:01] Loop alive (iteration 2280). Flag exists: False
[17:24:02] Loop alive (iteration 2800). Flag exists: False
[17:24:02] Loop alive (iteration 3140). Flag exists: False
[17:24:03] Loop alive (iteration 2440). Flag exists: False
[17:24:03] Loop alive (iteration 2300). Flag exists: False
[17:24:04] Loop alive (iteration 2820). Flag exists: False
